Brand,Model,Year,Engine CC,Power (BHP),Mileage (kmpl),Kms Driven,Fuel Type,Bike Type,Condition,Transmission,Owner Type,Price
Yamaha,FZ-S,2013,250,17.3,32.0,117439,Petrol,Naked,Used,Manual,1st Owner,29222.26
KTM,Duke 390,2022,750,65.8,20.1,1351,Petrol,Commuter,Like New,Automatic,2nd Owner,213270.71
Yamaha,FZ-S,2017,150,17.3,39.4,6195,Petrol,Naked,New,Automatic,1st Owner,61899.58
BMW,G310GS,2011,125,15.4,25.8,10958,Petrol,Sport,Used,Automatic,2nd Owner,34991.38
Kawasaki,Versys 650,2007,180,14.8,49.1,35882,Petrol,Scooter,Like New,Automatic,3rd Owner,21479.62
Honda,CB Hornet,2006,390,57.9,45.3,74841,Petrol,Cruiser,New,Automatic,2nd Owner,92314.13
Suzuki,Access 125,2022,1250,169.5,15.0,52850,Petrol,Commuter,Like New,Automatic,1st Owner,330866.81
Suzuki,V-Strom,2024,125,18.6,39.6,33453,Petrol,Sport,Like New,Manual,3rd Owner,37109.76
BMW,G310R,2014,750,67.4,26.5,94829,Petrol,Naked,New,Manual,3rd Owner,590512.85
Suzuki,Hayabusa,2010,1250,104.9,59.9,79004,Petrol,Sport,New,Automatic,2nd Owner,264216.12
Yamaha,FZ-S,2020,125,18.4,70.5,86974,Petrol,Naked,New,Automatic,3rd Owner,41017.06
KTM,Duke 390,2014,650,40.4,63.1,68339,Petrol,Commuter,New,Manual,2nd Owner,224012.58
Honda,CB Shine,2006,250,28.5,27.3,67891,Petrol,Scooter,Used,Automatic,1st Owner,24846.64
TVS,Ntorq 125,2012,1000,125.3,50.9,56998,Petrol,Adventure,Used,Manual,3rd Owner,157820.82
BMW,G310R,2012,200,25.0,28.5,37009,Petrol,Sport,Used,Manual,1st Owner,64793.06
Yamaha,R15,2010,750,66.4,38.7,8185,Petrol,Sport,Used,Automatic,2nd Owner,223297.03
KTM,Adventure 390,2009,200,21.5,40.7,71566,Petrol,Cruiser,New,Manual,3rd Owner,63027.26
Honda,Africa Twin,2007,180,12.3,31.2,53423,Petrol,Naked,New,Manual,3rd Owner,8000.0
BMW,S1000RR,2011,390,62.3,27.5,39821,Petrol,Sport,New,Automatic,3rd Owner,379913.48
Kawasaki,W175,2013,160,25.3,73.8,48934,Petrol,Adventure,Like New,Automatic,3rd Owner,42973.29
KTM,RC 390,2008,160,20.6,39.6,20874,Petrol,Naked,New,Automatic,1st Owner,39846.36
Royal Enfield,Classic 350,2007,750,97.9,57.8,17646,Petrol,Cruiser,New,Automatic,3rd Owner,300209.66
Suzuki,Intruder,2006,500,42.5,47.6,40904,Petrol,Sport,Used,Manual,3rd Owner,52365.08
Ducati,SuperSport,2009,250,35.1,69.9,116028,Petrol,Commuter,Like New,Automatic,2nd Owner,171000.13
Royal Enfield,Meteor 350,2008,650,40.5,60.2,107531,Petrol,Cruiser,Used,Manual,1st Owner,91906.37
Yamaha,MT-15,2016,1084,76.8,32.4,4117,Petrol,Cruiser,New,Automatic,1st Owner,403723.61
BMW,R1250GS,2024,1084,111.8,16.1,6317,Petrol,Sport,Like New,Manual,2nd Owner,919745.09
TVS,Jupiter,2008,350,53.9,43.8,91884,Petrol,Commuter,New,Automatic,3rd Owner,80752.56
TVS,Raider 125,2014,650,67.7,45.1,56846,Petrol,Naked,Like New,Automatic,2nd Owner,152638.79
Suzuki,Gixxer,2014,1084,67.7,41.0,98953,Petrol,Cruiser,New,Manual,1st Owner,226459.61
Yamaha,FZS-Fi,2018,1340,184.7,15.0,32479,Petrol,Scooter,New,Automatic,1st Owner,485287.82
KTM,Adventure 390,2006,1250,151.6,20.6,105543,Petrol,Naked,Like New,Automatic,2nd Owner,444783.33
KTM,Adventure 390,2010,1000,104.0,32.6,36847,Petrol,Naked,Used,Manual,2nd Owner,209810.6
BMW,S1000RR,2022,125,13.3,30.6,93091,Petrol,Adventure,Used,Automatic,3rd Owner,47144.62
Ducati,SuperSport,2005,1340,109.8,26.7,99259,Petrol,Adventure,Like New,Manual,2nd Owner,708213.6
BMW,R1250GS,2010,883,109.7,61.4,119372,Petrol,Naked,Like New,Manual,1st Owner,416547.37
Honda,Activa,2017,390,24.2,27.4,50192,Petrol,Adventure,Used,Manual,2nd Owner,70506.2
BMW,F850GS,2007,110,7.9,63.0,3171,Petrol,Commuter,New,Automatic,3rd Owner,59661.14
Royal Enfield,Himalayan,2010,150,22.6,63.0,76349,Electric,Cruiser,Like New,Automatic,3rd Owner,25884.26
Kawasaki,Ninja 300,2023,250,25.7,27.2,79197,Petrol,Naked,New,Automatic,3rd Owner,81662.75
BMW,G310R,2018,1000,112.2,19.4,109120,Petrol,Commuter,Used,Manual,3rd Owner,517377.27
KTM,Adventure 390,2019,750,101.3,52.8,32677,Petrol,Sport,Used,Automatic,1st Owner,215497.97
BMW,G310R,2020,390,23.8,29.5,45108,Petrol,Naked,Like New,Automatic,3rd Owner,309710.58
Ducati,Scrambler,2022,250,32.3,53.7,104431,Electric,Cruiser,New,Automatic,2nd Owner,155644.31
Harley-Davidson,Sportster,2021,500,66.1,38.7,92624,Petrol,Cruiser,Used,Manual,1st Owner,215935.49
Suzuki,Access 125,2011,1000,96.1,19.5,78722,Petrol,Sport,New,Automatic,1st Owner,226951.77
Suzuki,Hayabusa,2006,110,11.9,50.5,114330,Petrol,Sport,New,Automatic,2nd Owner,8000.0
Royal Enfield,Thunderbird,2008,125,9.0,46.9,7526,Petrol,Naked,Used,Manual,1st Owner,11314.1
TVS,Apache RTR 200,2021,650,79.7,32.2,56707,Petrol,Naked,New,Manual,1st Owner,182126.5
Kawasaki,Z900,2022,125,18.2,27.1,62092,Petrol,Commuter,Used,Automatic,3rd Owner,21438.17
Royal Enfield,Bullet 350,2011,750,89.6,19.8,35316,Petrol,Sport,New,Manual,2nd Owner,376223.73
Harley-Davidson,Iron 883,2019,350,32.3,58.0,65222,Petrol,Naked,New,Automatic,3rd Owner,196994.63
TVS,Raider 125,2005,300,42.4,49.5,68521,Petrol,Cruiser,New,Automatic,3rd Owner,61402.44
Ducati,Multistrada,2015,150,10.3,63.4,38277,Petrol,Adventure,Like New,Manual,2nd Owner,59564.42
Ducati,SuperSport,2005,1250,100.4,32.8,82109,Petrol,Scooter,Used,Automatic,1st Owner,677172.23
Harley-Davidson,Road King,2008,100,8.2,70.4,21258,Petrol,Sport,Like New,Automatic,1st Owner,37225.75
Yamaha,R15,2020,350,53.3,44.4,62394,Petrol,Naked,New,Automatic,1st Owner,177218.65
Yamaha,MT-15,2018,390,40.8,60.3,37572,Petrol,Naked,Like New,Automatic,1st Owner,121460.42
KTM,Adventure 390,2019,390,41.8,64.8,50696,Petrol,Adventure,New,Automatic,3rd Owner,186047.2
Suzuki,V-Strom,2006,160,21.2,42.6,115081,Petrol,Sport,Like New,Automatic,1st Owner,8000.0
Suzuki,Gixxer,2020,300,46.6,35.9,112142,Petrol,Scooter,Like New,Automatic,2nd Owner,74662.63
Harley-Davidson,Sportster,2006,125,9.6,33.9,30317,Petrol,Adventure,New,Manual,2nd Owner,31799.42
BMW,G310R,2014,500,60.5,38.5,74677,Petrol,Commuter,New,Manual,1st Owner,362923.27
Harley-Davidson,Sportster,2009,250,26.0,44.2,1731,Petrol,Adventure,Used,Manual,1st Owner,91729.43
Ducati,Multistrada,2019,350,31.3,27.1,31591,Petrol,Cruiser,Like New,Automatic,3rd Owner,296370.26
Royal Enfield,Classic 350,2023,110,13.6,68.7,118849,Petrol,Commuter,Like New,Automatic,1st Owner,32974.39
Suzuki,Gixxer,2006,350,28.0,62.0,17724,Petrol,Cruiser,Used,Automatic,1st Owner,45819.54
BMW,G310GS,2021,300,32.0,61.8,63656,Petrol,Cruiser,Like New,Automatic,1st Owner,160575.0
Kawasaki,Ninja ZX-10R,2022,500,43.1,20.2,16699,Petrol,Scooter,Like New,Automatic,3rd Owner,167939.33
BMW,G310R,2012,1000,90.2,15.0,80464,Petrol,Sport,Like New,Automatic,3rd Owner,505102.79
Honda,Activa,2020,150,15.3,28.8,59959,Petrol,Scooter,Like New,Automatic,3rd Owner,27815.15
Ducati,Monster,2020,750,72.6,59.8,28977,Petrol,Commuter,Used,Manual,3rd Owner,502925.71
Honda,CBR 650R,2013,200,31.4,75.7,12515,Petrol,Scooter,Like New,Automatic,3rd Owner,24183.19
Suzuki,Intruder,2011,125,18.2,60.9,107068,Petrol,Cruiser,New,Manual,2nd Owner,8000.0
Royal Enfield,Meteor 350,2008,100,13.4,26.8,77682,Petrol,Commuter,Used,Manual,1st Owner,8000.0
Harley-Davidson,Road King,2016,1084,114.7,36.4,81123,Electric,Scooter,Like New,Automatic,2nd Owner,820678.55
Harley-Davidson,Road King,2018,150,18.4,48.3,11089,Petrol,Commuter,New,Manual,2nd Owner,107562.77
Ducati,SuperSport,2021,350,46.2,41.4,92483,Petrol,Scooter,Like New,Automatic,3rd Owner,178914.06
Kawasaki,Ninja ZX-10R,2015,883,61.0,31.4,41463,Petrol,Cruiser,New,Automatic,1st Owner,233731.64
BMW,F850GS,2022,110,7.2,50.2,16521,Petrol,Scooter,Used,Automatic,3rd Owner,35760.72
Yamaha,YZF R1,2021,200,16.5,24.0,46390,Petrol,Cruiser,New,Automatic,3rd Owner,71303.34
TVS,Raider 125,2022,100,9.5,51.4,4294,Petrol,Scooter,Used,Automatic,2nd Owner,9964.62
Ducati,Monster,2009,100,12.0,25.2,59960,Petrol,Cruiser,Used,Automatic,3rd Owner,27872.44
TVS,Apache RTR 160,2007,300,21.3,39.0,54787,Petrol,Naked,New,Automatic,2nd Owner,45631.75
KTM,RC 390,2006,250,18.0,40.7,40007,Petrol,Commuter,Used,Automatic,2nd Owner,31513.7
Suzuki,V-Strom,2022,250,15.5,49.0,9947,Petrol,Scooter,New,Automatic,2nd Owner,66950.32
TVS,Ntorq 125,2023,650,98.8,49.4,3233,Petrol,Commuter,Like New,Automatic,3rd Owner,171650.79
Kawasaki,Ninja ZX-10R,2023,650,72.1,39.4,45000,Petrol,Commuter,New,Manual,3rd Owner,344186.28
Suzuki,Access 125,2008,160,21.7,36.2,100003,Petrol,Commuter,Like New,Automatic,2nd Owner,10183.07
TVS,Raider 125,2015,390,26.3,29.6,40191,Petrol,Naked,New,Automatic,3rd Owner,79804.61
BMW,S1000RR,2007,125,18.9,50.5,73155,Petrol,Scooter,New,Automatic,2nd Owner,56989.62
TVS,Ntorq 125,2021,160,19.9,65.3,110256,Petrol,Scooter,New,Automatic,3rd Owner,32770.52
Harley-Davidson,Sportster,2021,180,16.7,43.1,102010,Petrol,Naked,New,Automatic,1st Owner,123719.64
Royal Enfield,Bullet 350,2009,390,28.4,19.8,41162,Petrol,Scooter,Like New,Automatic,2nd Owner,92005.49
KTM,Adventure 390,2015,160,15.4,58.4,90338,Petrol,Sport,Like New,Automatic,3rd Owner,25560.48
Kawasaki,Versys 650,2020,200,18.7,34.1,111180,Petrol,Naked,Like New,Manual,3rd Owner,64654.97
Ducati,Panigale V2,2010,180,23.8,64.6,22197,Petrol,Sport,Used,Automatic,3rd Owner,81097.83
Harley-Davidson,Fat Boy,2022,250,26.5,37.9,109959,Petrol,Scooter,Like New,Automatic,2nd Owner,119788.29
KTM,Adventure 390,2010,200,28.9,63.5,84540,Petrol,Cruiser,Like New,Manual,3rd Owner,57645.44
Suzuki,Hayabusa,2019,1084,108.0,15.0,29602,Petrol,Cruiser,New,Automatic,1st Owner,311321.67
Yamaha,MT-15,2012,100,13.0,43.3,44447,Petrol,Commuter,New,Automatic,2nd Owner,8000.0
Harley-Davidson,Sportster,2005,125,11.3,24.4,95820,Petrol,Adventure,New,Automatic,1st Owner,17367.06
TVS,Ntorq 125,2007,150,15.4,60.9,83331,Petrol,Commuter,Like New,Manual,2nd Owner,8000.0
Ducati,Panigale V2,2007,1084,159.7,60.8,66996,Petrol,Naked,Like New,Manual,2nd Owner,510460.05
